timestamp,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,T2M,RH2M,WS2M
2023-06-01 00:00:00,17.5,22.62,27.44,83.1,4.42
2023-06-01 01:00:00,132.8,166.73,28.5,76.88,4.9
2023-06-01 02:00:00,294.42,372.45,30.62,66.08,5.27
2023-06-01 03:00:00,465.2,575.83,32.76,56.55,5.13
2023-06-01 04:00:00,605.53,743.0,34.53,49.94,4.33
2023-06-01 05:00:00,728.72,853.42,35.87,45.87,3.32
2023-06-01 06:00:00,804.6,874.4,36.93,42.46,2.64
2023-06-01 07:00:00,807.1,852.62,37.76,39.7,2.28
2023-06-01 08:00:00,714.0,758.85,38.19,38.16,2.36
2023-06-01 09:00:00,580.15,605.7,38.15,37.82,2.59
2023-06-01 10:00:00,400.25,411.33,37.67,38.42,2.86
2023-06-01 11:00:00,199.45,205.2,36.56,41.26,3.39
2023-06-01 12:00:00,39.72,40.5,34.27,52.45,3.84
2023-06-01 13:00:00,0.0,0.0,32.42,61.9,4.2
2023-06-01 14:00:00,0.0,0.0,31.48,68.23,4.07
2023-06-01 15:00:00,0.0,0.0,30.89,72.92,4.01
2023-06-01 16:00:00,0.0,0.0,30.55,75.84,4.22
2023-06-01 17:00:00,0.0,0.0,30.28,77.78,4.3
2023-06-01 18:00:00,0.0,0.0,29.98,79.39,4.1
2023-06-01 19:00:00,0.0,0.0,29.75,79.98,3.89
2023-06-01 20:00:00,0.0,0.0,29.52,80.26,3.69
2023-06-01 21:00:00,0.0,0.0,29.22,80.67,3.59
2023-06-01 22:00:00,0.0,0.0,28.93,80.16,3.59
2023-06-01 23:00:00,0.0,0.0,28.67,78.78,3.61
2023-06-02 00:00:00,21.27,22.85,28.57,76.12,3.71
2023-06-02 01:00:00,156.65,170.5,29.27,68.87,4.19
2023-06-02 02:00:00,345.6,380.8,30.89,58.35,4.5
2023-06-02 03:00:00,527.85,587.42,33.07,49.97,4.09
2023-06-02 04:00:00,705.0,756.22,35.0,45.21,3.01
2023-06-02 05:00:00,859.25,868.4,36.47,41.34,2.17
2023-06-02 06:00:00,713.97,715.25,37.65,37.59,1.62
2023-06-02 07:00:00,783.65,879.62,38.45,34.78,1.12
2023-06-02 08:00:00,610.2,612.22,38.75,34.05,0.68
2023-06-02 09:00:00,502.52,504.92,38.4,35.49,0.69
2023-06-02 10:00:00,399.33,422.12,37.56,38.18,1.14
2023-06-02 11:00:00,195.82,209.68,36.68,41.13,1.9
2023-06-02 12:00:00,38.9,41.12,35.29,48.31,2.63
2023-06-02 13:00:00,0.0,0.0,33.66,54.45,3.68
2023-06-02 14:00:00,0.0,0.0,32.94,57.26,4.65
2023-06-02 15:00:00,0.0,0.0,32.25,61.62,4.8
2023-06-02 16:00:00,0.0,0.0,31.65,65.5,4.31
2023-06-02 17:00:00,0.0,0.0,31.16,67.95,3.8
2023-06-02 18:00:00,0.0,0.0,30.67,69.22,3.9
2023-06-02 19:00:00,0.0,0.0,30.27,68.85,4.69
2023-06-02 20:00:00,0.0,0.0,29.91,67.86,5.63
2023-06-02 21:00:00,0.0,0.0,29.55,67.76,6.0
2023-06-02 22:00:00,0.0,0.0,29.11,68.87,5.88
2023-06-02 23:00:00,0.0,0.0,28.74,70.66,5.43
2023-06-03 00:00:00,18.0,22.12,28.64,71.8,5.08
2023-06-03 01:00:00,123.0,164.27,29.76,67.2,5.48
2023-06-03 02:00:00,305.67,370.85,32.16,56.74,5.94
2023-06-03 03:00:00,487.85,576.42,34.65,47.71,5.48
2023-06-03 04:00:00,648.22,745.83,36.58,42.25,4.54
2023-06-03 05:00:00,769.72,859.25,38.13,38.01,3.73
2023-06-03 06:00:00,781.75,900.12,39.35,34.36,3.01
2023-06-03 07:00:00,753.38,872.6,40.36,30.87,2.23
2023-06-03 08:00:00,682.1,774.7,40.75,29.18,1.29
2023-06-03 09:00:00,541.22,616.95,40.13,30.79,0.61
2023-06-03 10:00:00,372.33,417.7,38.68,34.58,1.29
2023-06-03 11:00:00,181.18,206.8,37.09,40.5,2.52
2023-06-03 12:00:00,37.42,40.78,35.0,49.51,3.72
2023-06-03 13:00:00,0.0,0.0,33.46,56.72,4.81
2023-06-03 14:00:00,0.0,0.0,32.42,63.7,4.9
2023-06-03 15:00:00,0.0,0.0,31.83,67.96,4.75
2023-06-03 16:00:00,0.0,0.0,31.52,69.59,4.84
2023-06-03 17:00:00,0.0,0.0,31.23,69.73,5.0
2023-06-03 18:00:00,0.0,0.0,30.96,68.99,5.18
2023-06-03 19:00:00,0.0,0.0,30.58,68.84,5.28
2023-06-03 20:00:00,0.0,0.0,30.18,69.22,5.32
2023-06-03 21:00:00,0.0,0.0,29.77,70.07,5.22
2023-06-03 22:00:00,0.0,0.0,29.35,71.45,5.01
2023-06-03 23:00:00,0.0,0.0,28.97,72.99,4.67
2023-06-04 00:00:00,16.83,21.5,28.74,74.18,4.38
2023-06-04 01:00:00,118.18,156.12,29.79,68.98,4.55
2023-06-04 02:00:00,266.12,354.62,32.3,57.04,4.54
2023-06-04 03:00:00,430.12,555.08,34.78,47.49,3.77
2023-06-04 04:00:00,569.75,722.1,36.64,41.5,2.8
2023-06-04 05:00:00,698.47,833.97,38.07,36.93,2.09
2023-06-04 06:00:00,809.35,883.33,39.21,32.69,1.68
2023-06-04 07:00:00,710.47,858.0,39.69,30.92,1.4
2023-06-04 08:00:00,743.03,762.0,39.28,32.29,1.41
2023-06-04 09:00:00,595.2,606.55,38.18,36.06,1.71
2023-06-04 10:00:00,401.08,410.1,37.22,39.4,1.93
2023-06-04 11:00:00,200.43,202.98,36.16,43.1,2.21
2023-06-04 12:00:00,26.2,26.17,34.87,48.73,2.35
2023-06-04 13:00:00,0.0,0.0,33.55,55.16,2.66
2023-06-04 14:00:00,0.0,0.0,32.67,59.77,3.14
2023-06-04 15:00:00,0.0,0.0,32.0,64.1,3.25
2023-06-04 16:00:00,0.0,0.0,31.47,67.16,3.45
2023-06-04 17:00:00,0.0,0.0,30.95,68.48,4.03
2023-06-04 18:00:00,0.0,0.0,30.23,69.68,4.84
2023-06-04 19:00:00,0.0,0.0,29.42,71.23,5.75
2023-06-04 20:00:00,0.0,0.0,28.75,72.2,6.51
2023-06-04 21:00:00,0.0,0.0,28.31,73.72,6.67
2023-06-04 22:00:00,0.0,0.0,28.09,75.38,6.48
2023-06-04 23:00:00,0.0,0.0,28.13,75.89,6.22
2023-06-05 00:00:00,19.33,21.52,28.3,75.68,5.92
2023-06-05 01:00:00,137.65,158.62,28.8,73.86,5.8
2023-06-05 02:00:00,311.0,360.5,29.63,70.14,5.78
2023-06-05 03:00:00,487.38,563.05,30.69,65.13,5.68
2023-06-05 04:00:00,639.6,730.53,31.82,60.1,5.3
2023-06-05 05:00:00,771.3,842.53,32.91,55.36,4.85
2023-06-05 06:00:00,839.2,900.2,34.01,50.7,4.45
2023-06-05 07:00:00,814.78,878.17,35.03,46.77,4.22
2023-06-05 08:00:00,729.67,785.88,35.94,43.83,4.18
2023-06-05 09:00:00,573.12,633.17,36.42,42.63,4.1
2023-06-05 10:00:00,385.02,436.73,36.24,43.27,3.95
2023-06-05 11:00:00,186.65,222.82,35.78,44.81,3.81
2023-06-05 12:00:00,35.58,45.38,34.64,49.67,3.4
2023-06-05 13:00:00,0.0,0.0,32.99,56.99,3.73
2023-06-05 14:00:00,0.0,0.0,32.04,61.97,4.69
2023-06-05 15:00:00,0.0,0.0,31.19,67.59,5.12
2023-06-05 16:00:00,0.0,0.0,30.63,71.57,5.41
2023-06-05 17:00:00,0.0,0.0,30.21,74.27,5.56
2023-06-05 18:00:00,0.0,0.0,29.87,75.6,5.67
2023-06-05 19:00:00,0.0,0.0,29.47,76.33,5.55
2023-06-05 20:00:00,0.0,0.0,29.03,76.9,5.78
2023-06-05 21:00:00,0.0,0.0,28.65,76.23,6.59
2023-06-05 22:00:00,0.0,0.0,28.39,75.97,6.77
2023-06-05 23:00:00,0.0,0.0,28.24,75.2,6.68
2023-06-06 00:00:00,21.08,24.42,28.18,74.18,6.3
2023-06-06 01:00:00,151.27,185.98,28.79,70.69,6.14
2023-06-06 02:00:00,352.27,404.12,30.28,64.15,6.06
2023-06-06 03:00:00,544.47,611.42,32.34,56.27,5.59
2023-06-06 04:00:00,721.88,778.12,34.35,49.7,4.48
2023-06-06 05:00:00,849.58,888.0,35.8,44.72,3.33
2023-06-06 06:00:00,848.62,920.78,36.83,40.59,2.18
2023-06-06 07:00:00,829.28,896.0,37.42,38.09,0.9
2023-06-06 08:00:00,755.58,801.72,37.35,38.59,0.53
2023-06-06 09:00:00,587.67,646.8,36.96,40.07,1.71
2023-06-06 10:00:00,422.2,447.33,36.35,42.04,2.76
2023-06-06 11:00:00,210.6,229.95,35.41,45.33,3.74
2023-06-06 12:00:00,41.3,47.47,33.95,51.17,4.47
2023-06-06 13:00:00,0.0,0.0,32.54,57.15,5.15
2023-06-06 14:00:00,0.0,0.0,31.7,61.0,5.38
2023-06-06 15:00:00,0.0,0.0,31.09,63.36,5.09
2023-06-06 16:00:00,0.0,0.0,30.52,65.39,4.69
2023-06-06 17:00:00,0.0,0.0,29.9,67.99,4.26
2023-06-06 18:00:00,0.0,0.0,29.18,71.44,3.85
2023-06-06 19:00:00,0.0,0.0,28.48,74.77,3.69
2023-06-06 20:00:00,0.0,0.0,27.83,77.8,3.49
2023-06-06 21:00:00,0.0,0.0,27.25,80.46,3.67
2023-06-06 22:00:00,0.0,0.0,26.9,82.95,4.31
2023-06-06 23:00:00,0.0,0.0,26.81,84.74,4.86
2023-06-07 00:00:00,6.82,22.9,26.87,85.58,5.13
2023-06-07 01:00:00,112.7,170.32,27.29,84.0,5.3
2023-06-07 02:00:00,240.9,377.92,28.04,80.55,5.28
2023-06-07 03:00:00,443.05,581.0,28.89,76.04,5.22
2023-06-07 04:00:00,513.88,746.6,29.64,71.82,5.23
2023-06-07 05:00:00,602.65,855.92,30.12,68.99,5.41
2023-06-07 06:00:00,646.92,896.42,30.24,67.34,5.61
2023-06-07 07:00:00,615.12,868.97,30.2,66.77,5.87
2023-06-07 08:00:00,618.3,773.75,30.17,66.38,6.13
2023-06-07 09:00:00,508.58,620.5,30.19,65.96,6.17
2023-06-07 10:00:00,338.23,425.62,30.14,66.18,6.13
2023-06-07 11:00:00,168.38,216.85,29.8,68.0,6.05
2023-06-07 12:00:00,40.42,45.45,29.18,71.57,5.79
2023-06-07 13:00:00,0.0,0.0,28.5,76.05,5.4
2023-06-07 14:00:00,0.0,0.0,28.21,78.82,5.14
2023-06-07 15:00:00,0.0,0.0,28.14,80.09,4.84
2023-06-07 16:00:00,0.0,0.0,28.09,81.02,4.58
2023-06-07 17:00:00,0.0,0.0,27.99,82.06,4.54
2023-06-07 18:00:00,0.0,0.0,27.78,83.31,4.8
2023-06-07 19:00:00,0.0,0.0,27.6,84.12,5.28
2023-06-07 20:00:00,0.0,0.0,27.46,84.82,5.69
2023-06-07 21:00:00,0.0,0.0,27.38,85.5,5.87
2023-06-07 22:00:00,0.0,0.0,27.37,85.55,5.88
2023-06-07 23:00:00,0.0,0.0,27.38,84.79,5.61
2023-06-08 00:00:00,18.98,22.67,27.51,83.21,5.06
2023-06-08 01:00:00,139.25,169.5,28.43,77.51,4.98
2023-06-08 02:00:00,313.0,376.9,30.36,65.43,5.57
2023-06-08 03:00:00,485.23,580.25,32.5,53.64,5.54
2023-06-08 04:00:00,642.22,746.17,34.19,47.31,4.54
2023-06-08 05:00:00,764.33,856.28,35.39,44.12,3.6
2023-06-08 06:00:00,800.05,896.88,36.08,42.56,3.25
2023-06-08 07:00:00,793.45,869.22,36.29,42.03,3.41
2023-06-08 08:00:00,678.33,772.17,36.07,42.56,3.78
2023-06-08 09:00:00,541.75,616.42,35.39,44.8,3.93
2023-06-08 10:00:00,381.27,418.92,34.46,48.58,3.98
2023-06-08 11:00:00,192.0,209.88,33.46,53.64,4.09
2023-06-08 12:00:00,42.7,43.4,32.1,61.77,4.08
2023-06-08 13:00:00,0.0,0.0,30.86,68.71,4.36
2023-06-08 14:00:00,0.0,0.0,30.2,71.53,4.81
2023-06-08 15:00:00,0.0,0.0,29.66,75.02,5.08
2023-06-08 16:00:00,0.0,0.0,29.19,78.3,5.19
2023-06-08 17:00:00,0.0,0.0,28.86,80.49,5.26
2023-06-08 18:00:00,0.0,0.0,28.56,82.48,5.2
2023-06-08 19:00:00,0.0,0.0,28.29,84.27,4.93
2023-06-08 20:00:00,0.0,0.0,28.06,85.57,4.59
2023-06-08 21:00:00,0.0,0.0,27.98,85.28,4.34
2023-06-08 22:00:00,0.0,0.0,27.88,84.91,3.76
2023-06-08 23:00:00,0.0,0.0,27.7,85.37,3.01
2023-06-09 00:00:00,19.23,21.5,27.67,84.77,2.67
2023-06-09 01:00:00,144.1,161.02,28.16,80.1,3.24
2023-06-09 02:00:00,325.9,365.15,28.83,75.2,3.84
2023-06-09 03:00:00,501.62,568.38,29.48,70.48,4.08
2023-06-09 04:00:00,673.17,735.62,30.12,66.42,3.87
2023-06-09 05:00:00,815.5,847.6,31.02,62.05,3.68
2023-06-09 06:00:00,830.5,891.35,32.38,57.12,3.7
2023-06-09 07:00:00,782.58,866.65,33.59,53.09,3.7
2023-06-09 08:00:00,663.5,773.5,34.42,50.29,3.83
2023-06-09 09:00:00,475.95,621.05,34.8,48.93,4.1
2023-06-09 10:00:00,309.85,426.25,34.64,49.28,4.46
2023-06-09 11:00:00,165.93,217.15,33.84,52.77,4.72
2023-06-09 12:00:00,38.83,46.17,32.21,59.67,4.69
2023-06-09 13:00:00,0.0,0.0,30.74,66.2,4.61
2023-06-09 14:00:00,0.0,0.0,30.11,69.48,4.6
2023-06-09 15:00:00,0.0,0.0,29.6,72.68,4.32
2023-06-09 16:00:00,0.0,0.0,29.22,75.29,4.09
2023-06-09 17:00:00,0.0,0.0,28.88,77.49,3.81
2023-06-09 18:00:00,0.0,0.0,28.46,80.05,3.3
2023-06-09 19:00:00,0.0,0.0,27.97,83.15,2.75
2023-06-09 20:00:00,0.0,0.0,27.57,85.12,2.29
